flip_angle_fraction_of_nominal,rf_phase_(deg),extension_of_base_TR_ms,extension_of_base_TE_ms
0.0898666666666667,0,0,0
0.113066666666667,180,0,0
0.136133333333333,0,0,0
0.158933333333333,180,0,0
0.181333333333333,0,0,0
0.203466666666667,180,0,0
0.225066666666667,0,0,0
0.246133333333333,180,0,0
0.266666666666667,0,0,0
0.286533333333333,180,0,0
0.305466666666667,0,0,0
0.323733333333333,180,0,0
0.3412,0,0,0
0.3576,180,0,0
0.373066666666667,0,0,0
0.387466666666667,180,0,0
0.4008,0,0,0
0.413066666666667,180,0,0
0.424133333333333,0,0,0
0.434,180,0,0
0.442533333333333,0,0,0
0.449866666666667,180,0,0
0.455866666666667,0,0,0
0.460533333333333,180,0,0
0.464,0,0,0
0.466,180,0,0
0.466666666666667,0,0,0
0.466,180,0,0
0.464,0,0,0
0.460533333333333,180,0,0
0.455866666666667,0,0,0
0.449866666666667,180,0,0
0.442533333333333,0,0,0
0.434,180,0,0
0.424133333333333,0,0,0
0.413066666666667,180,0,0
0.4008,0,0,0
0.387466666666667,180,0,0
0.373066666666667,0,0,0
0.3576,180,0,0
0.3412,0,0,0
0.323733333333333,180,0,0
0.305466666666667,0,0,0
0.286533333333333,180,0,0
0.266666666666667,0,0,0
0.246133333333333,180,0,0
0.225066666666667,0,0,0
0.203466666666667,180,0,0
0.181333333333333,0,0,0
0.158933333333333,180,0,0
0.136133333333333,0,0,0
0.113066666666667,180,0,0
0.0898666666666667,0,0,0
0.0666666666666667,180,0,0
0,0,0,0
0,180,0,0
0.0961333333333333,0,0,0
0.125466666666667,180,0,0
0.154666666666667,0,0,0
0.183466666666667,180,0,0
0.212,0,0,0
0.24,180,0,0
0.267333333333333,0,0,0
0.294,180,0,0
0.32,0,0,0
0.345066666666667,180,0,0
0.3692,0,0,0
0.3924,180,0,0
0.4144,0,0,0
0.4352,180,0,0
0.4548,0,0,0
0.473066666666667,180,0,0
0.49,0,0,0
0.505466666666667,180,0,0
0.519466666666667,0,0,0
0.531866666666667,180,0,0
0.5428,0,0,0
0.552,180,0,0
0.559733333333333,0,0,0
0.5656,180,0,0
0.569866666666667,0,0,0
0.572533333333333,180,0,0
0.573333333333333,0,0,0
0.572533333333333,180,0,0
0.569866666666667,0,0,0
0.5656,180,0,0
0.559733333333333,0,0,0
0.552,180,0,0
0.5428,0,0,0
0.531866666666667,180,0,0
0.519466666666667,0,0,0
0.505466666666667,180,0,0
0.49,0,0,0
0.473066666666667,180,0,0
0.4548,0,0,0
0.4352,180,0,0
0.4144,0,0,0
0.3924,180,0,0
0.3692,0,0,0
0.345066666666667,180,0,0
0.32,0,0,0
0.294,180,0,0
0.267333333333333,0,0,0
0.24,180,0,0
0.212,0,0,0
0.183466666666667,180,0,0
0.154666666666667,0,0,0
0.125466666666667,180,0,0
0.0961333333333333,0,0,0
0.0666666666666667,180,0,0
0,0,0,0
0,180,0,0
0.117066666666667,0,0,0
0.167333333333333,180,0,0
0.2172,0,0,0
0.266533333333333,180,0,0
0.3152,0,0,0
0.363066666666667,180,0,0
0.41,0,0,0
0.4556,180,0,0
0.5,0,0,0
0.542933333333333,180,0,0
0.584266666666667,0,0,0
0.623733333333333,180,0,0
0.661466666666667,0,0,0
0.697066666666667,180,0,0
0.730533333333333,0,0,0
0.761866666666667,180,0,0
0.7908,0,0,0
0.8172,180,0,0
0.8412,0,0,0
0.8624,180,0,0
0.881066666666667,0,0,0
0.896933333333333,180,0,0
0.91,0,0,0
0.920133333333333,180,0,0
0.927466666666667,0,0,0
0.931866666666667,180,0,0
0.933333333333333,0,0,0
0.931866666666667,180,0,0
0.927466666666667,0,0,0
0.920133333333333,180,0,0
0.91,0,0,0
0.896933333333333,180,0,0
0.881066666666667,0,0,0
0.8624,180,0,0
0.8412,0,0,0
0.8172,180,0,0
0.7908,0,0,0
0.761866666666667,180,0,0
0.730533333333333,0,0,0
0.697066666666667,180,0,0
0.661466666666667,0,0,0
0.623733333333333,180,0,0
0.584266666666667,0,0,0
0.542933333333333,180,0,0
0.5,0,0,0
0.4556,180,0,0
0.41,0,0,0
0.363066666666667,180,0,0
0.3152,0,0,0
0.266533333333333,180,0,0
0.2172,0,0,0
0.167333333333333,180,0,0
0.117066666666667,0,0,0
0.0666666666666667,180,0,0
0,0,0,0
0,180,0,0
0.0977333333333333,0,0,0
0.128533333333333,180,0,0
0.159333333333333,0,0,0
0.1896,180,0,0
0.2196,0,0,0
0.249066666666667,180,0,0
0.277866666666667,0,0,0
0.306,180,0,0
0.333333333333333,0,0,0
0.359733333333333,180,0,0
0.3852,0,0,0
0.409466666666667,180,0,0
0.432666666666667,0,0,0
0.454533333333333,180,0,0
0.4752,0,0,0
0.4944,180,0,0
0.512266666666667,0,0,0
0.528533333333333,180,0,0
0.543333333333333,0,0,0
0.5564,180,0,0
0.567866666666667,0,0,0
0.5776,180,0,0
0.5856,0,0,0
0.591866666666667,180,0,0
0.5964,0,0,0
0.599066666666667,180,0,0
0.6,0,0,0
0.599066666666667,180,0,0
0.5964,0,0,0
0.591866666666667,180,0,0
0.5856,0,0,0
0.5776,180,0,0
0.567866666666667,0,0,0
0.5564,180,0,0
0.543333333333333,0,0,0
0.528533333333333,180,0,0
0.512266666666667,0,0,0
0.4944,180,0,0
0.4752,0,0,0
0.454533333333333,180,0,0
0.432666666666667,0,0,0
0.409466666666667,180,0,0
0.3852,0,0,0
0.359733333333333,180,0,0
0.333333333333333,0,0,0
0.306,180,0,0
0.277866666666667,0,0,0
0.249066666666667,180,0,0
0.2196,0,0,0
0.1896,180,0,0
0.159333333333333,0,0,0
0.128533333333333,180,0,0
0.0977333333333333,0,0,0
0.0666666666666667,180,0,0
0,0,0,0
0,180,0,0
0.0837333333333333,0,0,0
0.100666666666667,180,0,0
0.1176,0,0,0
0.134266666666667,180,0,0
0.1508,0,0,0
0.166933333333333,180,0,0
0.1828,0,0,0
0.198266666666667,180,0,0
0.213333333333333,0,0,0
0.227866666666667,180,0,0
0.241866666666667,0,0,0
0.2552,180,0,0
0.268,0,0,0
0.28,180,0,0
0.291333333333333,0,0,0
0.302,180,0,0
0.311733333333333,0,0,0
0.320666666666667,180,0,0
0.3288,0,0,0
0.336,180,0,0
0.342266666666667,0,0,0
0.347733333333333,180,0,0
0.352133333333333,0,0,0
0.3556,180,0,0
0.358,0,0,0
0.359466666666667,180,0,0
0.36,0,0,0
0.359466666666667,180,0,0
0.358,0,0,0
0.3556,180,0,0
0.352133333333333,0,0,0
0.347733333333333,180,0,0
0.342266666666667,0,0,0
0.336,180,0,0
0.3288,0,0,0
0.320666666666667,180,0,0
0.311733333333333,0,0,0
0.302,180,0,0
0.291333333333333,0,0,0
0.28,180,0,0
0.268,0,0,0
0.2552,180,0,0
0.241866666666667,0,0,0
0.227866666666667,180,0,0
0.213333333333333,0,0,0
0.198266666666667,180,0,0
0.1828,0,0,0
0.166933333333333,180,0,0
0.1508,0,0,0
0.134266666666667,180,0,0
0.1176,0,0,0
0.100666666666667,180,0,0
0.0837333333333333,0,0,0
0.0666666666666667,180,0,0
